Volume(m^3),Weight(Kg),Power Consumption(kW),Airflow(CMH),Refrigerant Charge(KG),Capcity(kW)
0.297792,71,2.69,4440,2.9,11.2
0.297792,80,3.44,4440,3.4,14
0.38736,102,3.59,7980,3.6,16
0.44022,115,5.46,7380,5.4,20
0.44022,115,6.61,7380,5.4,22.4
0.44022,115,7.21,8220,5.4,24
1.17887265,185,3.23,7140,6.4,16
1.17887265,185,4.82,10680,6.6,22.4
1.5718302,215,6.29,10680,8.3,28
1.5718302,215,7.81,11460,8.5,33.5
1.5718302,275,9.46,13080,9.7,40
1.5718302,275,11.4,13080,9.8,45
1.5718302,291,12.8,16080,11.7,50
1.5718302,291,14.8,17820,11.7,56
1.17887265,185,3.63,7140,5.9,16
1.17887265,185,5.18,9420,5.9,22.4
1.17887265,195,6.88,9900,6,28
1.17887265,195,8.82,10680,6.3,33.5
1.5718302,285,10.7,13980,10.3,40
1.5718302,285,13,13980,10.4,45
1.17887265,175,3.38,7140,5.9,16
1.17887265,175,5.17,10680,5.9,22.4
1.17887265,185,6.84,10680,6.7,28
1.17887265,185,8.7,11460,6.8,33.5
1.5718302,215,10.7,15420,7.4,40
1.5718302,260,12.9,15420,8.2,45
1.5718302,260,15.3,15420,8.4,50
1.2787335,219,5.79,10800,9,25.2
1.2787335,219,7.02,10800,9,28
1.2787335,237,8.71,10800,11,33.5
1.730811,297,10.81,14000,13,40
1.730811,297,12.83,14000,13,45
1.730811,305,14.47,15500,13,50
1.730811,340,16.67,15500,16,56
1.730811,340,18.77,15500,16,61.5
1.2787335,227,5.3,11000,11,25.2
1.2787335,227,6.3,11000,11,28
1.2787335,227,8.7,11000,11,33.5
1.862265,277,9.9,13000,13,40
1.862265,277,12,13000,13,45
1.862265,348,12.5,17000,17,50
1.862265,348,15.1,17000,17,56
1.862265,348,18.4,17000,17,61.5
2.691015,430,18.1,25000,22,67
2.691015,430,20.9,25000,22,73
2.691015,430,24.2,25000,22,78.5
2.691015,475,27.4,24000,25,85
2.691015,475,31,24000,25,90
